Ñù±¾id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
sample_183,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,1200,0.15,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420
sample_1592,300,,405,700,10:00:00,20,,,11:00:00,100,12:00:00,106,0.2,13:00:00,105,14:00:00,105,0.2,300,14:00-14:30,50,9,5,15:00:00,70,15:30:00,75,15:30-16:30,350,3.5,3.5,16:30-17:30,17:30:00,68,19:30:00,45,19:30-20:50,21:10-22:30,,800,0.15,420
sample_142,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400
sample_1127,300,,405,700,8:00:00,29,,,10:00:00,102,11:00:00,103,0.2,12:00:00,104,13:00:00,105,0.2,200,13:00-14:00,50,9,5,14:00:00,78,15:00:00,73,15:00-16:00,320,3.5,3.5,16:00-17:00,17:00:00,80,19:00:00,45,19:00-20:30,20:30-22:00,22:00-23:00,1200,0.15,400
sample_1855,300,,405,700,14:00:00,30,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,78,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420
sample_327,300,,405,700,2:00:00,39,2:20:00,80,4:00:00,100,5:00:00,103,0.2,6:00:00,102,7:00:00,102,0.2,300,11:30-12:00,20,9,5,12:30:00,70,13:00:00,75,19:30-20:00,330,3.5,3.5,20:00-22:00,22:00:00,65,0:30:00,65,2:30-4:00,4:30-6:00,,800,0.15,400
sample_7,300,,405,700,17:30:00,18,,,19:00:00,100,20:00:00,102,0.2,21:00:00,102,22:00:00,102,0.2,300,0:00-0:30,40,10,5,0:30:00,70,1:00:00,78,10:30-11:30,320,3.5,3.5,11:30-12:30,12:30:00,60,15:00:00,40,16:30-18:00,18:30-20:00,,800,0.15,400
sample_1019,300,,405,700,8:00:00,21,,,9:30:00,100,10:30:00,101,0.2,11:30:00,103,12:30:00,105,0.2,200,13:00-13:30,50,9,5,14:00:00,70,14:30:00,78,17:00-18:00,290,3.5,3.5,18:00-19:30,19:30:00,65,21:30:00,40,0:00-1:30,2:30-4:00,,800,0.15,400
sample_1494,300,,405,700,7:00:00,34,7:30:00,80,9:00:00,100,10:00:00,103,0.2,11:00:00,104,12:00:00,104,0.2,300,13:10-13:40,50,9,5,14:10:00,75,14:40:00,70,23:30-0:00,350,3.5,3.5,0:00-2:00,2:00:00,65,8:00:00,25,8:00-9:30,10:30-12:00,,800,0.15,400
sample_1276,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420
sample_290,300,125,,980,8:00:00,25,,,9:30:00,100,10:30:00,101,0.2,11:30:00,104,12:30:00,105,0.2,300,12:30-13:00,50,9,5,13:00:00,70,13:30:00,78,2:00-3:00,300,3.5,3.5,3:00-4:30,4:30:00,60,8:00:00,45,8:30-10:00,10:30-12:00,,800,0.15,400
sample_1796,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400
sample_1833,300,,405,700,22:00:00,30,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,106,0.2,200,3:00-4:00,50,9,5,4:00:00,79,5:00:00,72,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_712,300,,405,700,14:00:00,31,,,16:00:00,102,17:00:00,102,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,78,21:00:00,76,21:00-22:00,310,3.5,3.5,22:00-23:00,23:00:00,78,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400
sample_1892,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,79,21:00:00,72,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400
sample_62,300,,405,700,15:00:00,18,,,16:00:00,100,17:00:00,106,0.2,18:00:00,107,19:00:00,106,0.2,300,19:20-19:50,50,9,5,20:20:00,70,20:50:00,77,20:50-22:00,350,3.5,3.5,22:00-23:00,23:00:00,70,0:30:00,45,0:30-2:00,2:30-4:00,,800,0.15,400
sample_1075,300,,405,700,12:00:00,21,,,13:30:00,100,14:30:00,101,0.2,15:30:00,103,16:30:00,105,0.2,300,17:00-17:30,50,9,5,18:00:00,70,18:30:00,78,2:00-3:00,340,3.5,3.5,3:00-4:30,4:30:00,65,7:00:00,45,9:00-10:30,11:00-12:30,,800,0.15,420
sample_1804,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_1628,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420
sample_1404,300,,405,700,4:00:00,23,,,5:30:00,100,6:30:00,102,0.2,7:30:00,102,8:30:00,104,0.2,300,12:0-12:30,40,9,5,12:30:00,70,13:00:00,78,19:30-20:30,310,3.5,3.5,20:30-22:00,22:00:00,60,0:00:00,40,3:0-4:30,5:0-6:30,,800,0.15,400
sample_980,300,,405,700,15:00:00,23,,,16:00:00,100,17:00:00,101,0.2,18:00:00,102,19:00:00,103,0.2,300,19:10-19:30,30,9,5,19:50:00,70,20:20:00,78,0:00-0:30,300,3.5,3.5,0:30-1:30,1:30:00,65,4:00:00,45,5:40-7:10,7:40-9:00,,800,0.15,400
sample_1257,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400
sample_1197,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400
sample_747,300,,405,700,6:00:00,28,,,8:00:00,100,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440
sample_197,300,,405,700,6:00:00,30,,,8:00:00,100,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400
sample_690,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_1839,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,78,21:00:00,73,21:00-22:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_961,300,,405,700,15:30:00,21,,,17:30:00,100,18:30:00,102,0.2,19:30:00,104,20:30:00,104,0.2,100,20:30-21:30,50,9,5,21:30:00,50,22:00:00,78,22:00-23:00,280,3.5,3.5,23:00-0:00,0:00:00,65,2:00:00,45,2:00-3:30,3:30-4:30,,800,0.15,400
sample_134,300,,405,700,22:00:00,27,,,0:00:00,102,1:00:00,103,0.2,2:00:00,105,3:00:00,104,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,76,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420
sample_709,300,,405,700,14:00:00,30,,,16:00:00,102,17:00:00,103,0.2,18:00:00,105,19:00:00,104,0.2,200,19:00-20:00,50,9,5,20:00:00,78,21:00:00,76,21:00-22:00,310,3.5,3.5,22:00-23:00,23:00:00,76,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400
sample_1311,300,,405,700,6:00:00,30,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440
sample_1919,300,,405,700,22:00:00,30,,,0:00:00,102,1:00:00,105,0.2,2:00:00,106,3:00:00,107,0.2,200,3:00-4:00,50,9,5,4:00:00,79,5:00:00,72,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,78,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420
sample_1813,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_1399,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,440
sample_1888,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,79,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,420
sample_894,300,,405,700,2:00:00,38,2:10:00,80,3:30:00,100,4:30:00,103,0.2,5:30:00,103,6:30:00,102,0.2,300,11:30-12:00,50,9,5,12:00:00,70,12:30:00,75,17:30-18:00,350,3.5,3.5,18:00-19:00,19:00:00,45,0:30:00,27,0:30-2:00,4:00-5:30,,800,0.15,400
sample_1051,300,,405,700,10:30:00,24,,,12:00:00,100,13:00:00,102,0.2,14:00:00,102,15:00:00,103,0.2,300,15:30-16:00,50,9,5,16:30:00,70,17:00:00,78,17:30-18:30,370,3.5,3.5,18:30-20:00,20:00:00,65,23:00:00,45,2:00-4:00,5:00-7:00,,800,0.15,400
sample_1286,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,102,0.2,18:00:00,103,19:00:00,104,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,0:00:00,45,0:00-4:00,,,1200,0.03,440
sample_1327,300,,405,700,15:00:00,27,,,17:00:00,102,18:00:00,104,0.2,19:00:00,105,20:00:00,106,0.2,200,20:00-21:00,50,9,5,21:00:00,80,22:00:00,73,22:00-23:00,320,3.5,3.5,23:00-0:00,0:00:00,80,2:00:00,45,2:00-6:00,,,1200,0.15,460
sample_1651,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,72,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400
sample_1337,300,,405,700,21:00:00,29,,,23:00:00,102,0:00:00,103,0.2,1:00:00,104,2:00:00,105,0.2,200,2:00-3:00,50,9,5,3:00:00,80,4:00:00,73,4:00-5:00,320,3.5,3.5,5:00-6:00,6:00:00,80,8:00:00,45,8:00-11:00,,,1200,0.15,440
sample_1626,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400
sample_143,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_1391,300,,405,700,6:00:00,30,,,8:00:00,102,9:00:00,104,0.2,10:00:00,105,11:00:00,106,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440
sample_81,300,,405,700,22:00:00,30,,,0:00:00,103,1:00:00,105,0.2,2:00:00,105,3:00:00,106,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,79,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420
sample_279,300,,405,700,21:00:00,27,,,23:00:00,102,0:00:00,104,0.2,1:00:00,105,2:00:00,106,0.2,200,2:00-3:00,50,9,5,3:00:00,80,4:00:00,73,4:00-5:00,320,3.5,3.5,5:00-6:00,6:00:00,80,8:00:00,45,8:00-12:00,,,1200,0.15,440
sample_1455,300,,405,700,4:00:00,21,,,5:30:00,100,6:30:00,101,0.2,7:30:00,103,8:30:00,103,0.2,300,8:00-8:30,50,10,5,9:00:00,70,9:30:00,75,15:30-16:00,350,3.5,3.5,16:00-17:00,17:00:00,60,22:30:00,45,22:30-0:00,1:00-2:30,,800,0.15,400
sample_380,300,,405,700,21:00:00,38,21:15:00,80,22:40:00,100,23:40:00,102,0.2,0:40:00,104,1:40:00,104,0.2,300,3:30-4:00,50,10,5,4:30:00,70,5:00:00,75,14:00-14:30,370,3.5,3.5,14:30-16:30,16:30:00,65,22:00:00,45,22:00-23:30,0:30-2:00,,800,0.15,440
sample_1405,300,,405,700,15:00:00,21,,,16:00:00,100,17:00:00,102,0.2,18:00:00,103,19:00:00,104,0.2,300,20:0-20:30,40,10,5,20:30:00,70,21:00:00,78,5:30-6:30,310,3.5,3.5,6:30-7:30,7:30:00,60,12:00:00,40,12:0-13:30,14:0-15:30,,800,0.15,400
sample_1848,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400
sample_967,300,,405,700,2:30:00,21,,,4:00:00,100,5:00:00,103,0.2,6:00:00,102,7:00:00,105,0.2,300,7:10-7:30,30,9,5,7:45:00,70,8:15:00,78,8:15-9:15,260,3.5,3.5,9:15-10:15,10:15:00,56,15:20:00,45,15:30-16:50,17:10-18:40,,800,0.15,400
sample_1618,300,,405,700,11:00:00,24,,,12:30:00,100,13:30:00,101,0.2,14:30:00,101,15:30:00,103,0.2,300,16:00-16:30,50,10,5,17:00:00,70,17:30:00,78,18:00-19:00,350,3.5,3.5,19:00-20:30,20:30:00,65,23:00:00,45,2:00-4:00,5:00-7:00,,800,0.15,400
sample_1176,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,102,0.2,10:00:00,103,11:00:00,104,0.2,200,11:00-12:00,50,9,5,12:00:00,75,13:00:00,75,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,78,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400
sample_579,300,,405,700,1:00:00,29,,,3:00:00,102,4:00:00,103,0.2,5:00:00,104,6:00:00,105,0.2,200,6:00-7:00,50,9,5,7:00:00,80,8:00:00,75,8:00-9:00,320,3.5,3.5,9:00-10:00,10:00:00,80,12:00:00,45,12:00-13:30,13:30-15:00,15:00-16:00,1200,0.15,420
sample_261,300,,405,700,21:00:00,27,,,23:00:00,102,0:00:00,104,0.2,1:00:00,105,2:00:00,106,0.2,200,2:00-3:00,50,9,5,3:00:00,80,4:00:00,73,4:00-5:00,320,3.5,3.5,5:00-6:00,6:00:00,80,8:00:00,45,8:00-12:00,,,1200,0.15,440
sample_1452,300,,405,700,10:30:00,21,,,12:00:00,100,13:00:00,102,0.2,14:00:00,102,15:00:00,104,0.2,300,15:00-15:30,80,9,5,16:00:00,70,16:10:00,75,17:00-17:10,320,3.5,3.5,17:30-18:30,18:30:00,60,19:30:00,50,19:30-20:30,21:00-22:00,,800,0.15,360
sample_19,300,,405,700,14:00:00,24,,,15:30:00,100,16:30:00,102,0.2,17:30:00,104,18:30:00,104,0.2,300,19:30-20:00,30,9,5,20:00:00,70,20:30:00,78,5:00-6:00,310,3.5,3.5,6:00-7:00,7:00:00,60,12:00:00,40,12:30-14:00,14:30-16:00,,800,0.15,420
