样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
sample_1743,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,78,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,78,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:30,1200,0.15,400,0.936
sample_1493,300,,405,700,21:00:00,37,21:20:00,80,23:00:00,100,0:00:00,102,0.2,1:00:00,104,2:00:00,103,0.2,300,3:30-4:00,50,9,5,4:30:00,75,5:00:00,70,12:50-13:20,360,3.5,3.5,13:30-15:30,15:30:00,65,21:00:00,30,21:00-22:30,23:00-0:30,,800,0.15,400,0.891
sample_1613,300,,405,700,11:00:00,33,,,12:30:00,100,13:30:00,101,0.2,14:30:00,103,15:30:00,105,0.2,300,16:00-17:30,50,9,5,18:00:00,70,18:30:00,78,22:00-23:00,360,3.5,3.5,23:00-0:30,0:30:00,65,4:00:00,50,4:00-5:30,6:00-7:30,,800,0.15,400,0.891
sample_621,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,102,0.2,10:00:00,105,11:00:00,104,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,76,13:00-14:00,320,3.5,3.5,14:30-15:00,15:00:00,74,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.947
sample_1269,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.925
sample_1037,300,,405,700,21:00:00,21,,,22:30:00,100,23:30:00,102,0.2,0:30:00,104,1:30:00,105,0.2,200,2:00-2:30,50,9,5,3:00:00,70,3:30:00,78,7:00-8:00,300,3.5,3.5,8:30-10:00,10:00:00,65,13:00:00,45,14:00-15:30,16:30-18:00,,800,0.15,400,0.902
sample_1736,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,420,0.971
sample_97,300,,405,700,16:00:00,29,,,18:00:00,102,19:00:00,104,0.2,20:00:00,105,21:00:00,106,0.2,200,21:00-22:00,50,9,5,22:00:00,80,23:00:00,73,23:00-24:00,320,3.5,3.5,24:00-1:00,1:00:00,80,21:00:00,45,3:00-4:30,4:30-6:00,6:00-7:00,1200,0.15,400,0.902
sample_642,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.913
sample_179,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,78,21:00:00,72,21:00-22:00,1200,0.15,3.5,22:00-23:00,23:00:00,78,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.925
sample_759,300,,405,700,4:30:00,27,,,6:30:00,102,7:30:00,104,0.2,8:30:00,105,9:30:00,105,0.2,200,9:30-10:30,50,9,5,10:30:00,80,11:30:00,73,11:30-12:30,320,3.5,3.5,12:30-13:30,13:30:00,80,15:30:00,45,15:30-19:00,,,1200,0.15,440,0.93
sample_812,300,,405,700,6:00:00,30,,,8:00:00,102,9:00:00,104,0.2,10:00:00,105,11:00:00,106,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440,0.93
sample_1395,300,,405,700,14:00:00,30,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-5:00,,,1200,0.15,440,0.93
sample_922,300,,405,700,19:30:00,38,19:40:00,80,21:00:00,100,22:00:00,102,0.2,23:00:00,103,0:00:00,102,0.2,300,6:30-7:00,50,10,5,7:30:00,70,8:00:00,75,14:30-15:00,370,3.5,3.5,15:00-17:00,17:00:00,45,21:00:00,40,21:30-23:0,23:30-1:00,,800,0.15,420,0.947
sample_514,300,,405,700,11:00:00,26,,,12:30:00,100,13:30:00,101,0.2,14:30:00,103,15:30:00,105,0.2,300,16:00-16:30,50,9,5,17:00:00,70,17:30:00,78,0:30-1:30,340,3.5,3.5,1:30-3:00,3:00:00,65,8:00:00,45,8:00-9:30,10:00-11:30,,800,0.15,420,0.935
sample_72,300,,405,700,22:00:00,30,,,0:00:00,101,1:00:00,103,0.2,2:00:00,105,3:00:00,107,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,72,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,78,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.971
sample_1344,300,,405,700,6:00:00,30,,,8:00:00,102,9:00:00,104,0.2,10:00:00,105,11:00:00,106,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440,0.93
sample_582,300,,405,700,9:30:00,20,,,11:30:00,101,12:30:00,102,0.2,13:30:00,104,14:30:00,105,0.2,200,14:30-15:30,50,9,5,15:30:00,90,16:00:00,78,16:00-17:00,330,3.5,3.5,17:30-18:30,18:30:00,65,19:30:00,45,19:30-20:30,21:30-22:00,,1200,0.15,420,0.935
sample_1002,300,,405,700,14:00:00,21,,,15:00:00,100,16:00:00,101,0.2,17:00:00,102,18:00:00,103,0.2,200,18:00-18:30,50,9,5,18:30:00,70,19:00:00,78,19:00-20:00,300,3.5,3.5,20:00-21:30,21:30:00,60,4:00:00,39,4:30-6:00,7:00-8:00,,800,0.15,380,0.878
sample_1079,300,,405,700,1:00:00,27,,,2:30:00,100,3:30:00,101,0.2,4:30:00,103,5:30:00,105,0.2,300,8:30-9:00,50,10,5,9:30:00,70,10:00:00,78,16:30-17:30,350,3.5,3.5,17:30-19:00,19:00:00,65,22:00:00,45,0:00-1:30,2:30-4:00,,800,0.15,400,0.902
sample_484,300,,405,700,11:00:00,21,,,12:30:00,100,13:30:00,102,0.2,14:30:00,104,15:30:00,105,0.2,200,16:00-16:30,50,9,5,17:00:00,70,17:30:00,78,21:30-22:30,290,3.5,3.5,23:00-0:30,0:30:00,65,3:30:00,45,4:30-6:00,7:00-8:30,,800,0.15,400,0.902
sample_1823,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,79,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.936
sample_1818,300,,405,700,14:00:00,29,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420,0.983
sample_457,300,,405,700,18:00:00,35,,,19:00:00,100,20:00:00,102,0.2,21:00:00,104,22:00:00,105,0.2,200,22:30-23:00,50,9,5,23:30:00,70,0:00:00,78,3:30-4:00,290,3.5,3.5,4:00-5:00,5:00:00,65,8:00:00,45,9:30-11:00,11:30-13:00,,800,0.15,400,0.902
sample_69,300,,405,700,2:00:00,18,,,3:00:00,100,4:00:00,103,0.2,5:00:00,105,6:00:00,105,0.2,300,11:20-11:50,50,9,5,7:20:00,70,7:50:00,74,7:50-9:00,350,3.5,3.5,9:00-10:00,10:00:00,70,11:30:00,45,11:30-13:00,13:30-15:00,,800,0.15,400,0.902
sample_997,300,,405,700,12:00:00,21,,,13:30:00,100,14:30:00,101,0.2,15:30:00,103,16:30:00,105,0.2,200,17:00-17:30,50,9,5,18:00:00,70,18:30:00,78,22:30-23:30,290,3.5,3.5,2:00-3:00,3:00:00,63,4:00:00,50,4:30-6:00,7:00-8:30,,800,0.15,400,0.902
sample_1004,300,,405,700,7:00:00,20,,,8:30:00,100,9:30:00,102,0.2,10:30:00,103,11:30:00,105,0.2,200,12:00-12:30,50,9,5,13:00:00,70,13:30:00,78,17:00-18:00,290,3.5,3.5,18:00-19:00,19:00:00,60,21:00:00,40,23:30-1:00,2:00-3:30,,800,0.15,400,0.902
sample_232,300,,405,700,14:00:00,29,,,16:00:00,101,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,72,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,79,0:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,400,0.913
sample_1851,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.925
sample_1167,300,,405,700,22:00:00,20,,,0:00:00,101,1:00:00,103,0.2,2:00:00,105,3:00:00,104,0.2,200,3:00-4:00,50,9,5,4:00:00,79,4:30:00,75,4:30-5:30,320,3.5,3.5,5:30-6:30,6:30:00,65,8:00:00,45,8:00-9:30,9:30-11:00,11:00-12:00,1200,0.15,400,0.891
sample_433,300,,405,700,17:00:00,21,,,19:00:00,100,20:00:00,102,0.2,21:00:00,104,22:00:00,106,0.2,100,22:00-23:30,50,9,5,23:00:00,80,23:30:00,78,23:30-0:30,280,3.5,3.5,1:00-2:30,2:30:00,65,4:30:00,45,4:30-6:00,6:30-8:00,,800,0.15,400,0.891
sample_1612,300,,405,700,0:00:00,21,,,1:30:00,100,2:30:00,102,0.2,3:30:00,104,4:30:00,105,0.2,300,5:00-5:30,50,9,5,6:00:00,70,6:30:00,78,15:00-16:00,370,3.5,3.5,16:00-17:00,17:00:00,65,19:00:00,45,19:30-21:00,22:00-23:30,,800,0.15,400,0.902
sample_673,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.983
sample_1958,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440,0.93
sample_1046,250,,340,590,10:00:00,22,,,11:30:00,100,12:30:00,101,0.2,13:30:00,103,14:30:00,105,0.2,300,15:00-15:30,90,9,5,16:30:00,70,17:00:00,78,13:00-18:30,220,3.5,3.5,"22""00-0:00",0:00:00,65,5:00:00,50,6:00-8:00,,,400,0.15,340,0.92
sample_732,300,,405,700,6:00:00,28,,,8:00:00,102,9:00:00,104,0.2,10:00:00,105,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-21:00,,,1200,0.15,440,0.93
sample_355,300,,405,700,7:00:00,38,7:10:00,80,8:30:00,100,9:30:00,103,0.2,10:30:00,103,11:30:00,104,0.2,300,15:30-16:00,50,9,5,16:30:00,70,17:00:00,75,0:00-0:30,370,3.5,3.5,1:00-3:00,3:00:00,65,8:00:00,45,8:00-9:30,10:00-11:30,,800,0.15,400,0.947
sample_568,300,,405,700,8:00:00,29,,,10:00:00,102,11:00:00,103,0.2,12:00:00,104,13:00:00,105,0.2,200,13:00-14:00,50,9,5,14:00:00,78,15:00:00,73,15:00-16:00,320,3.5,3.5,16:00-17:00,17:00:00,80,19:00:00,45,19:00-20:30,20:30-22:00,22:00-23:00,1200,0.15,400,0.902
sample_1531,300,,405,700,16:40:00,41,,,17:50:00,100,18:50:00,102,0.2,19:50:00,102,20:50:00,103,0.2,300,0:00-0:30,50,9,5,0:30:00,70,1:00:00,75,11:00-11:30,360,3.5,3.5,11:30-13:30,13:30:00,65,15:30:00,45,15:30-17:00,18:00-19:30,,800,0.15,400,0.891
sample_949,300,,405,700,10:00:00,23,,,11:00:00,100,12:00:00,104,0.2,13:00:00,106,14:00:00,107,0.2,300,14:10-14:40,50,9,5,15:00:00,70,15:30:00,76,15:30-16:30,320,3.5,3.5,17:00-18:00,18:00:00,66,20:00:00,45,20:10-21:20,21:40-22:50,,800,0.15,400,0.913
sample_1856,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,78,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.902
sample_907,300,,405,700,6:30:00,39,6:40:00,80,8:15:00,100,9:15:00,102,0.2,10:15:00,104,11:15:00,102,0.2,300,14:00-14:30,50,9,5,14:30:00,70,15:00:00,75,0:30-1:00,370,3.5,3.5,1:00-3:00,3:00:00,65,8:00:00,39,8:00-9:30,10:30-12:00,,800,0.15,400,0.879
sample_225,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,79,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.913
sample_1175,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,420,0.983
sample_219,300,,405,700,14:00:00,30,,,16:00:00,100,17:00:00,104,0.2,18:00:00,106,19:00:00,107,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-2:30,2:30-4:00,4:00-5:00,1200,0.15,420,0.971
sample_17,300,,405,700,19:00:00,23,,,20:30:00,100,21:30:00,102,0.2,22:30:00,102,23:30:00,103,0.2,300,1:00-1:30,50,9,5,1:30:00,70,2:00:00,77,10:00-11:00,300,3.5,3.5,11:00-12:00,12:00:00,60,16:00:00,40,16:00-17:30,18:00-19:30,,800,0.15,400,0.879
sample_1752,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,79,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.925
sample_368,300,,405,700,1:00:00,38,1:10:00,80,2:30:00,100,3:30:00,103,0.2,4:30:00,104,5:30:00,102,0.2,300,11:00-11:30,50,10,5,11:30:00,70,12:00:00,75,20:00-20:30,370,3.5,3.5,20:30-23:00,23:00:00,55,4:00:00,45,4:00-5:30,6:00-7:30,,800,0.15,420,0.935
sample_1097,300,,405,700,8:00:00,21,,,9:30:00,100,10:30:00,101,0.2,11:30:00,103,12:30:00,105,0.2,300,13:30-14:00,50,9,5,14:30:00,70,15:00:00,78,21:30-22:30,340,3.5,3.5,22:30-0:00,0:00:00,65,5:00:00,45,5:00-6:30,7:30-9:00,,800,0.15,440,0.967
sample_1388,300,,405,700,21:00:00,29,,,23:00:00,102,0:00:00,103,0.2,1:00:00,104,2:00:00,105,0.2,200,2:00-3:00,50,9,5,3:00:00,80,4:00:00,73,4:00-5:00,320,3.5,3.5,5:00-6:00,6:00:00,80,8:00:00,45,8:00-12:00,,,1200,0.15,420,0.888
sample_296,300,125,,980,17:30:00,24,,,19:00:00,100,20:00:00,102,0.2,21:00:00,104,22:00:00,105,0.2,300,0:00-0:30,35,9,5,1:00:00,70,1:30:00,78,10:30-11:30,300,3.5,3.5,11:30-12:30,12:30:00,60,14:30:00,40,16:30-17:30,18:00-19:30,,800,0.15,400,0.902
sample_365,300,,405,700,21:00:00,41,21:20:00,80,22:45:00,100,23:45:00,102,0.2,0:45:00,102,1:45:00,104,0.2,300,4:00-4:30,50,9,5,5:00:00,70,5:30:00,75,13:00-13:30,370,3.5,3.5,13:30-15:30,15:30:00,60,19:00:00,45,20:30-22:00,23:00-0:30,,800,0.15,420,0.947
sample_1753,300,,405,700,14:00:00,30,,,16:00:00,100,17:00:00,102,0.2,18:00:00,104,19:00:00,106,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,6:00-7:00,7:00:00,78,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.947
sample_1747,300,,405,700,22:00:00,29,,,0:00:00,101,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:30,1200,0.15,400,0.936
sample_1289,300,,405,700,14:00:00,27,,,16:00:00,102,17:00:00,104,0.2,18:00:00,105,19:00:00,106,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,0:00:00,45,0:00-4:00,,,1200,0.15,460,0.998
sample_1552,300,,405,700,5:00:00,32,5:30:00,80,7:00:00,100,8:00:00,103,0.2,9:00:00,103,10:00:00,104,0.2,300,10:10-10:40,50,9,5,11:10:00,70,11:40:00,75,16:00-16:30,350,3.5,3.5,16:30-18:30,18:30:00,65,1:00:00,35,1；00-2:00,3:00-4:30,,800,0.15,400,0.902
sample_717,300,,405,700,6:00:00,30,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,104,0.2,200,11:00-12:00,50,9,5,12:00:00,78,13:00:00,76,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,79,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.936
sample_1950,300,,405,700,14:00:00,30,,,16:00:00,102,17:00:00,103,0.2,18:00:00,104,19:00:00,105,0.2,200,19:00-20:00,50,9,5,20:00:00,80,21:00:00,73,21:00-22:00,320,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45,1:00-5:00,,,1200,0.15,440,0.93
sample_1786,300,,405,700,22:00:00,29,,,0:00:00,102,1:00:00,103,0.2,2:00:00,104,3:00:00,105,0.2,200,3:00-4:00,50,9,5,4:00:00,80,5:00:00,73,5:00-6:00,320,3.5,3.5,6:00-7:00,7:00:00,80,9:00:00,45,9:00-10:30,10:30-12:00,12:00-13:00,1200,0.15,400,0.925
sample_1979,300,,405,700,6:00:00,29,,,8:00:00,102,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,440,0.93
sample_543,300,,405,700,4:00:00,26,,,5:30:00,100,6:30:00,102,0.2,7:30:00,102,8:30:00,102,0.2,300,8:30-9:00,50,9,5,9:30:00,70,10:00:00,78,16:30-17:30,340,3.5,3.5,17:30-19:00,19:00:00,65,21:00:00,45,23:30-1:00,1:30-3:00,,800,0.15,420,0.947
sample_995,300,,405,700,19:00:00,26,,,20:00:00,100,21:00:00,101,0.2,22:00:00,102,23:00:00,103,0.2,200,23:00-23:30,50,10,5,23:30:00,70,0:00:00,77,0:00-1:00,300,3.5,3.5,1:00-2:30,2:30:00,58,4:00:00,40,9:00-10:30,11:30-13:00,,800,0.15,390,0.89
sample_1849,300,,405,700,6:00:00,29,,,8:00:00,101,9:00:00,103,0.2,10:00:00,105,11:00:00,107,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,72,13:00-14:00,320,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-18:30,18:30-20:00,20:00-21:00,1200,0.15,400,0.913
sample_814,300,,405,700,21:00:00,29,,,23:00:00,102,0:00:00,103,0.2,1:00:00,104,2:00:00,105,0.2,200,2:00-3:00,50,9,5,3:00:00,80,4:00:00,73,4:00-5:00,320,3.5,3.5,5:00-6:00,6:00:00,80,8:00:00,45,8:00-11:00,,,1200,0.15,440,0.93
sample_553,300,,405,700,2:00:00,27,,,3:30:00,100,4:30:00,101,0.2,5:30:00,103,6:30:00,102,0.2,300,7:00-7:30,50,10,5,8:00:00,70,8:30:00,78,16:30-17:30,340,3.5,3.5,17:30-19:00,19:00:00,65,21:00:00,50,23:00-0:30,1:00-2:30,,800,0.15,440,0.967
sample_363,300,,405,700,8:45:00,38,9:00:00,80,10:30:00,100,11:30:00,103,0.2,12:30:00,104,13:30:00,102,0.2,300,13:30-14:00,50,10,5,14:30:00,70,15:00:00,75,19:30-20:00,370,3.5,3.5,20:00-22:00,22:00:00,50,23:00:00,39,23:00-0:30,2:30-4:00,,800,0.15,420,0.947
sample_550,300,,405,700,21:30:00,21,,,23:00:00,100,0:00:00,102,0.2,1:00:00,102,2:00:00,102,0.2,300,4:00-4:30,50,10,5,5:00:00,70,5:30:00,78,13:00-14:00,350,3.5,3.5,14:00-15:30,15:30:00,65,19:00:00,45,19:30-21:00,21:30-23:00,,800,0.15,420,0.947
sample_43,300,,405,700,3:30:00,21,,,4:30:00,100,5:30:00,102,0.2,6:30:00,103,7:30:00,104,0.2,300,11:00-11:30,40,9,5,11:30:00,70,12:00:00,78,19:00-20:00,300,3.5,3.5,20:00-21:30,21:30:00,60,2:00:00,40,3:00-4:30,5:00-6:30,,800,0.15,400,0.902
sample_1065,300,,405,700,22:30:00,21,,,0:00:00,100,1:00:00,101,0.2,2:00:00,102,3:00:00,102,0.2,300,3:30-4:00,50,10,5,6:30:00,70,7:00:00,78,14:30-15:30,340,3.5,3.5,15:30-16:30,16:30:00,65,19:00:00,45,21:00-22:30,23:00-0:30,,800,0.15,420,0.935
sample_1151,300,,405,700,8:00:00,29,,,10:00:00,101,11:00:00,103,0.2,12:00:00,104,13:00:00,105,0.2,200,13:00-14:00,50,9,5,14:00:00,80,15:00:00,73,15:00-16:00,320,3.5,3.5,16:00-17:00,17:00:00,80,19:00:00,45,19:00-20:30,20:30-22:00,22:00-23:00,1200,0.15,400,0.902
sample_763,300,,405,700,6:00:00,30,,,8:00:00,103,9:00:00,104,0.2,10:00:00,105,11:00:00,106,0.2,200,11:00-12:00,50,9,5,12:00:00,80,13:00:00,73,13:00-14:00,310,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45,17:00-20:30,,,1200,0.15,440,0.93
